sample_id,material_id,applied_wavenumber_cm1,band_center_cm1,resonance_alignment_0_1,optical_equiv_frequency_hz,rf_frequency_mhz,rf_equiv_wavenumber_cm1,rf_to_pdf_band_ratio,field_t,thickness_m,skin_depth_m,attenuation_0_1,ls_runner_response_proxy,particle_diameter_m,particle_mass_kg,concentration_wt,target_mass_kg,screening_score_0_1,combined_rank_score_0_1,claim_gate
4a,C_graphite,2800,3050.0,1.0,83941888240000.0,1,3.3356409519815205e-05,1.0936527711414822e-08,0.5,0.001,0.0015915494309189533,0.5334880910911033,0.04445733770633081,1e-05,1.1833332328521556e-12,0.05,0.07750000000000001,0.35000129999999996,0.35000129999999996,screening_only
4b,C_graphite,2800,3050.0,1.0,83941888240000.0,1,3.3356409519815205e-05,1.0936527711414822e-08,0.5,0.001,0.0015915494309189533,0.5334880910911033,0.04445733770633081,1e-05,1.1833332328521556e-12,0.05,0.09500000000000001,0.35000129999999996,0.35000129999999996,screening_only
4c,C_graphite,2800,3050.0,1.0,83941888240000.0,1,3.3356409519815205e-05,1.0936527711414822e-08,0.5,0.001,0.0015915494309189533,0.5334880910911033,0.04445733770633081,1e-05,1.1833332328521556e-12,0.05,0.07500000000000001,0.35000129999999996,0.35000129999999996,screening_only
3a,Fe,200,450.0,1.0,5995849160000.0,1,3.3356409519815205e-05,7.412535448847823e-08,0.5,0.001,1.1253953951963827e-05,2.568083404274794e-39,2.140069348659021e-40,1e-05,4.122816759061006e-12,0.05,0.08250000000000002,1.0,0.20900316316157108,screening_only
3b,Fe,200,450.0,1.0,5995849160000.0,1,3.3356409519815205e-05,7.412535448847823e-08,0.5,0.001,1.1253953951963827e-05,2.568083404274794e-39,2.140069348659021e-40,1e-05,4.122816759061006e-12,0.05,0.09000000000000001,1.0,0.20900316316157108,screening_only
3c,Fe,200,450.0,1.0,5995849160000.0,1,3.3356409519815205e-05,7.412535448847823e-08,0.5,0.001,1.1253953951963827e-05,2.568083404274794e-39,2.140069348659021e-40,1e-05,4.122816759061006e-12,0.05,0.07500000000000001,1.0,0.20900316316157108,screening_only
4c,Fe,200,450.0,1.0,5995849160000.0,1,3.3356409519815205e-05,7.412535448847823e-08,0.5,0.001,1.1253953951963827e-05,2.568083404274794e-39,2.140069348659021e-40,1e-05,4.122816759061006e-12,0.05,0.07500000000000001,1.0,0.20900316316157108,screening_only
2a,Nd,400,2200.0,1.0,11991698320000.0,1,3.3356409519815205e-05,1.516200432718873e-08,0.5,0.001,0.00039324497603367956,0.07863454901619946,0.006552878610370356,1e-05,3.668856620617281e-12,0.05,0.08250000000000002,0.35036399999999995,0.18029590622645122,screening_only
2b,Nd,400,2200.0,1.0,11991698320000.0,1,3.3356409519815205e-05,1.516200432718873e-08,0.5,0.001,0.00039324497603367956,0.07863454901619946,0.006552878610370356,1e-05,3.668856620617281e-12,0.05,0.09000000000000001,0.35036399999999995,0.18029590622645122,screening_only
2c,Nd,400,2200.0,1.0,11991698320000.0,1,3.3356409519815205e-05,1.516200432718873e-08,0.5,0.001,0.00039324497603367956,0.07863454901619946,0.006552878610370356,1e-05,3.668856620617281e-12,0.05,0.07500000000000001,0.35036399999999995,0.18029590622645122,screening_only
4c,Nd,400,2200.0,1.0,11991698320000.0,1,3.3356409519815205e-05,1.516200432718873e-08,0.5,0.001,0.00039324497603367956,0.07863454901619946,0.006552878610370356,1e-05,3.668856620617281e-12,0.05,0.07500000000000001,0.35036399999999995,0.18029590622645122,screening_only
1a,Au,1000,1500.0,1.0,29979245800000.0,1,3.3356409519815205e-05,2.223760634654347e-08,0.5,0.001,7.860102387247309e-05,2.9832997161849654e-06,2.486082916872213e-07,1e-05,1.0115928344559135e-11,0.05,0.08000000000000002,0.35000221,0.09200886765090267,screening_only
1b,Au,1000,1500.0,1.0,29979245800000.0,1,3.3356409519815205e-05,2.223760634654347e-08,0.5,0.001,7.860102387247309e-05,2.9832997161849654e-06,2.486082916872213e-07,1e-05,1.0115928344559135e-11,0.05,0.09000000000000001,0.35000221,0.09200886765090267,screening_only
1c,Au,1000,1500.0,1.0,29979245800000.0,1,3.3356409519815205e-05,2.223760634654347e-08,0.5,0.001,7.860102387247309e-05,2.9832997161849654e-06,2.486082916872213e-07,1e-05,1.0115928344559135e-11,0.05,0.07500000000000001,0.35000221,0.09200886765090267,screening_only
4c,Au,1000,1500.0,1.0,29979245800000.0,1,3.3356409519815205e-05,2.223760634654347e-08,0.5,0.001,7.860102387247309e-05,2.9832997161849654e-06,2.486082916872213e-07,1e-05,1.0115928344559135e-11,0.05,0.07500000000000001,0.35000221,0.09200886765090267,screening_only
